Date,High,Low,Open,Close,Volume,Adj Close
2022-01-03,609.989990234375,590.5599975585938,605.6099853515625,597.3699951171875,3067500,597.3699951171875
2022-01-04,600.4099731445312,581.5999755859375,599.9099731445312,591.1500244140625,4393100,591.1500244140625
2022-01-05,592.8400268554688,566.8800048828125,592.0,567.52001953125,4148700,567.52001953125
2022-01-06,563.3599853515625,542.010009765625,554.3400268554688,553.2899780273438,5711800,553.2899780273438
2022-01-07,553.4299926757812,538.219970703125,549.4600219726562,541.0599975585938,3382900,541.0599975585938
2022-01-10,543.6900024414062,526.3200073242188,538.489990234375,539.8499755859375,4486100,539.8499755859375
2022-01-11,543.9099731445312,530.0700073242188,536.989990234375,540.8400268554688,3077800,540.8400268554688
2022-01-12,544.27001953125,532.02001953125,544.27001953125,537.219970703125,3787400,537.219970703125
2022-01-13,540.7899780273438,518.260009765625,537.0599975585938,519.2000122070312,4475100,519.2000122070312
2022-01-14,538.3699951171875,511.8800048828125,517.5999755859375,525.6900024414062,7861100,525.6900024414062
2022-01-18,521.75,508.67999267578125,520.0800170898438,510.79998779296875,4839100,510.79998779296875
2022-01-19,523.2100219726562,510.510009765625,515.0,515.8599853515625,4353500,515.8599853515625
2022-01-20,526.6400146484375,506.92999267578125,517.75,508.25,12659000,508.25
2022-01-21,409.1499938964844,379.989990234375,400.42999267578125,397.5,58904300,397.5
2022-01-24,387.260009765625,351.4599914550781,383.9100036621094,387.1499938964844,32346000,387.1499938964844
2022-01-25,387.7099914550781,365.1300048828125,379.1400146484375,366.4200134277344,15145800,366.4200134277344
2022-01-26,382.6600036621094,356.6199951171875,378.2699890136719,359.70001220703125,12684000,359.70001220703125
2022-01-27,394.79998779296875,378.1000061035156,382.05999755859375,386.70001220703125,24324700,386.70001220703125
2022-01-28,387.0,372.0799865722656,386.760009765625,384.3599853515625,11966600,384.3599853515625
2022-01-31,427.70001220703125,398.20001220703125,401.9700012207031,427.1400146484375,20047500,427.1400146484375
2022-02-01,458.4800109863281,425.5400085449219,432.9599914550781,457.1300048828125,22568100,457.1300048828125
2022-02-02,451.9800109863281,426.4800109863281,448.25,429.4800109863281,14346000,429.4800109863281
